tStep	n= 1 l= 0   	n= 2 l= 0   	n= 2 l= 1   	n= 3 l= 0   	n= 3 l= 1   	n= 3 l= 2   	n= 4 l= 0   	n= 4 l= 1   	n= 4 l= 2   	n= 4 l= 3   	n= 5 l= 0   	n= 5 l= 1   	n= 5 l= 2   	n= 5 l= 3   	n= 5 l= 4   	n= 6 l= 0   	n= 6 l= 1   	n= 6 l= 2   	n= 6 l= 3   	n= 6 l= 4   	n= 6 l= 5   	n= 7 l= 0   	n= 7 l= 1   	n= 7 l= 2   	n= 7 l= 3   	n= 7 l= 4   	n= 7 l= 5   	n= 7 l= 6   	n= 8 l= 0   	n= 8 l= 1   	n= 8 l= 2   	n= 8 l= 3   	n= 8 l= 4   	n= 8 l= 5   	n= 8 l= 6   	n= 8 l= 7   	n= 1        	n= 2        	n= 3        	n= 4        	n= 5        	n= 6        	n= 7        	n= 8        	n+          	oInt        	bInt        	tInt 
00000	 0.10000E+01	 0.88976E-19	 0.00000E+00	 0.26363E-19	 0.00000E+00	 0.00000E+00	 0.11122E-19	 0.00000E+00	 0.00000E+00	 0.00000E+00	 0.56945E-20	 0.00000E+00	 0.00000E+00	 0.00000E+00	 0.00000E+00	 0.32954E-20	 0.00000E+00	 0.00000E+00	 0.00000E+00	 0.00000E+00	 0.00000E+00	 0.20753E-20	 0.00000E+00	 0.00000E+00	 0.00000E+00	 0.00000E+00	 0.00000E+00	 0.00000E+00	 0.13903E-20	 0.00000E+00	 0.00000E+00	 0.00000E+00	 0.00000E+00	 0.00000E+00	 0.00000E+00	 0.00000E+00	 0.10000E+01	 0.88976E-19	 0.26363E-19	 0.11122E-19	 0.56945E-20	 0.32954E-20	 0.20753E-20	 0.13903E-20	 0.34756E-20	 0.10000E+01	-0.16873E-08	 0.10000E+01 
00249	 0.10000E+01	 0.59411E-11	 0.23650E-10	 0.15743E-11	 0.37836E-11	 0.12246E-21	 0.63993E-12	 0.13136E-11	 0.51635E-22	 0.28370E-33	 0.32216E-12	 0.61646E-12	 0.25892E-22	 0.19848E-33	 0.37543E-45	 0.18475E-12	 0.34053E-12	 0.14760E-22	 0.12928E-33	 0.36795E-45	 0.32217E-57	 0.11571E-12	 0.20857E-12	 0.92008E-23	 0.86405E-34	 0.29365E-45	 0.40597E-57	 0.19403E-69	 0.77242E-13	 0.13724E-12	 0.61209E-23	 0.59927E-34	 0.22461E-45	 0.38259E-57	 0.29861E-69	 0.86588E-82	 0.10000E+01	 0.29592E-10	 0.53578E-11	 0.19535E-11	 0.93862E-12	 0.52528E-12	 0.32428E-12	 0.21448E-12	 0.53621E-12	 0.10000E+01	-0.16422E-08	 0.10000E+01 
00499	 0.10000E+01	 0.22424E-10	 0.51140E-08	 0.58087E-11	 0.81213E-09	 0.59069E-17	 0.23403E-11	 0.28115E-09	 0.24888E-17	 0.30227E-26	 0.11731E-11	 0.13176E-09	 0.12475E-17	 0.21144E-26	 0.88143E-36	 0.67114E-12	 0.72729E-10	 0.71102E-18	 0.13771E-26	 0.86384E-36	 0.16656E-45	 0.41973E-12	 0.44524E-10	 0.44318E-18	 0.92035E-27	 0.68938E-36	 0.20988E-45	 0.22078E-55	 0.27993E-12	 0.29289E-10	 0.29480E-18	 0.63830E-27	 0.52729E-36	 0.19779E-45	 0.33978E-55	 0.21675E-65	 0.10000E+01	 0.51364E-08	 0.81794E-09	 0.28349E-09	 0.13293E-09	 0.73401E-10	 0.44944E-10	 0.29569E-10	 0.73922E-10	 0.10000E+01	 0.80844E-09	 0.10000E+01 
00749	 0.10000E+01	 0.45459E-10	 0.97887E-07	 0.11336E-10	 0.15345E-07	 0.22854E-14	 0.44982E-11	 0.52853E-08	 0.96153E-15	 0.23263E-22	 0.22382E-11	 0.24710E-08	 0.48164E-15	 0.16269E-22	 0.13429E-30	 0.12752E-11	 0.13621E-08	 0.27440E-15	 0.10595E-22	 0.13160E-30	 0.50194E-39	 0.79555E-12	 0.83319E-09	 0.17099E-15	 0.70803E-23	 0.10502E-30	 0.63247E-39	 0.13156E-47	 0.52971E-12	 0.54779E-09	 0.11373E-15	 0.49103E-23	 0.80324E-31	 0.59603E-39	 0.20246E-47	 0.25530E-56	 0.10000E+01	 0.97932E-07	 0.15356E-07	 0.52898E-08	 0.24732E-08	 0.13634E-08	 0.83398E-09	 0.54832E-09	 0.13708E-08	 0.10000E+01	 0.40799E-07	 0.10000E+01 
00999	 0.10000E+01	 0.66806E-10	 0.63372E-06	 0.15797E-10	 0.97389E-07	 0.10400E-12	 0.61324E-11	 0.33286E-07	 0.43650E-13	 0.72798E-20	 0.30187E-11	 0.15504E-07	 0.21838E-13	 0.50897E-20	 0.28636E-27	 0.17096E-11	 0.85291E-08	 0.12433E-13	 0.33141E-20	 0.28061E-27	 0.72856E-35	 0.10626E-11	 0.52106E-08	 0.77446E-14	 0.22145E-20	 0.22391E-27	 0.91798E-35	 0.12993E-42	 0.70578E-12	 0.34230E-08	 0.51496E-14	 0.15357E-20	 0.17126E-27	 0.86506E-35	 0.19996E-42	 0.17153E-50	 0.10000E+01	 0.63378E-06	 0.97405E-07	 0.33292E-07	 0.15507E-07	 0.85308E-08	 0.52117E-08	 0.34237E-08	 0.85593E-08	 0.10000E+01	 0.24165E-06	 0.10000E+01 
01249	 0.10000E+01	 0.76661E-10	 0.20544E-05	 0.16662E-10	 0.30681E-06	 0.12281E-11	 0.62531E-11	 0.10370E-06	 0.51349E-12	 0.30440E-18	 0.30272E-11	 0.48042E-07	 0.25642E-12	 0.21274E-18	 0.41763E-25	 0.16985E-11	 0.26350E-07	 0.14584E-12	 0.13849E-18	 0.40919E-25	 0.36991E-32	 0.10496E-11	 0.16069E-07	 0.90782E-13	 0.92528E-19	 0.32650E-25	 0.46606E-32	 0.22966E-39	 0.69456E-12	 0.10543E-07	 0.60337E-13	 0.64160E-19	 0.24971E-25	 0.43918E-32	 0.35343E-39	 0.10552E-46	 0.10000E+01	 0.20545E-05	 0.30683E-06	 0.10370E-06	 0.48045E-07	 0.26351E-07	 0.16070E-07	 0.10544E-07	 0.26360E-07	 0.10000E+01	 0.67302E-06	 0.10000E+01 
01499	 0.99999E+00	 0.82816E-10	 0.38073E-05	 0.15361E-10	 0.54766E-06	 0.48960E-11	 0.54292E-11	 0.18239E-06	 0.20371E-11	 0.25196E-17	 0.25523E-11	 0.83896E-07	 0.10148E-11	 0.17601E-17	 0.70341E-24	 0.14087E-11	 0.45833E-07	 0.57636E-12	 0.11455E-17	 0.68914E-24	 0.12644E-30	 0.86179E-12	 0.27882E-07	 0.35848E-12	 0.76522E-18	 0.54984E-24	 0.15930E-30	 0.15937E-37	 0.56650E-12	 0.18266E-07	 0.23813E-12	 0.53055E-18	 0.42051E-24	 0.15010E-30	 0.24524E-37	 0.14859E-44	 0.99999E+00	 0.38073E-05	 0.54768E-06	 0.18239E-06	 0.83899E-07	 0.45835E-07	 0.27884E-07	 0.18267E-07	 0.45668E-07	 0.10000E+01	 0.10320E-05	 0.10000E+01 
01749	 0.99999E+00	 0.10348E-09	 0.42191E-05	 0.16367E-10	 0.60043E-06	 0.62609E-11	 0.53962E-11	 0.19910E-06	 0.26016E-11	 0.36825E-17	 0.24489E-11	 0.91391E-07	 0.12951E-11	 0.25722E-17	 0.11684E-23	 0.13247E-11	 0.49869E-07	 0.73531E-12	 0.16739E-17	 0.11447E-23	 0.23852E-30	 0.80043E-12	 0.30316E-07	 0.45723E-12	 0.11181E-17	 0.91330E-24	 0.30049E-30	 0.34145E-37	 0.52187E-12	 0.19851E-07	 0.30368E-12	 0.77523E-18	 0.69846E-24	 0.28314E-30	 0.52544E-37	 0.36159E-44	 0.99999E+00	 0.42192E-05	 0.60045E-06	 0.19911E-06	 0.91395E-07	 0.49871E-07	 0.30317E-07	 0.19852E-07	 0.49630E-07	 0.10000E+01	 0.10820E-05	 0.10000E+01 
01999	 0.99999E+00	 0.12684E-09	 0.47537E-05	 0.17626E-10	 0.83345E-06	 0.21392E-11	 0.54181E-11	 0.29569E-06	 0.96934E-12	 0.31022E-18	 0.23670E-11	 0.13991E-06	 0.50243E-12	 0.22156E-18	 0.32788E-25	 0.12521E-11	 0.77594E-07	 0.29158E-12	 0.14600E-18	 0.32258E-25	 0.25491E-32	 0.74587E-12	 0.47631E-07	 0.18373E-12	 0.98277E-19	 0.25804E-25	 0.32165E-32	 0.14156E-39	 0.48171E-12	 0.31385E-07	 0.12308E-12	 0.68481E-19	 0.19768E-25	 0.30340E-32	 0.21801E-39	 0.58633E-47	 0.99999E+00	 0.47538E-05	 0.83347E-06	 0.29570E-06	 0.13991E-06	 0.77596E-07	 0.47632E-07	 0.31386E-07	 0.78464E-07	 0.10000E+01	 0.23007E-05	 0.10000E+01 
02249	 0.99997E+00	 0.20802E-09	 0.16632E-04	 0.42454E-10	 0.30856E-05	 0.36970E-10	 0.15635E-10	 0.11065E-05	 0.18100E-10	 0.18798E-16	 0.75153E-11	 0.52549E-06	 0.96797E-11	 0.14776E-16	 0.31787E-23	 0.42026E-11	 0.29193E-06	 0.57075E-11	 0.10236E-16	 0.34083E-23	 0.22505E-30	 0.25925E-11	 0.17936E-06	 0.36296E-11	 0.70961E-17	 0.28694E-23	 0.30438E-30	 0.77715E-38	 0.17136E-11	 0.11825E-06	 0.24457E-11	 0.50388E-17	 0.22716E-23	 0.30022E-30	 0.12662E-37	 0.14627E-45	 0.99997E+00	 0.16632E-04	 0.30857E-05	 0.11065E-05	 0.52551E-06	 0.29194E-06	 0.17937E-06	 0.11825E-06	 0.29563E-06	 0.99999E+00	 0.84456E-05	 0.10000E+01 
